title,date,text,status,url
"Foi deputado de extrema-direita, e não presidente de Portugal, quem defendeu proibir entrada de Lula no país","13 de março de 2024, 15h43",Presidente de Portugal eleito neste domingo (10) disse: Lula não entra em Portugal,Selo falso,https://www.aosfatos.org/noticias/deputado-extrema-direita-presidente-portugal-proibir-entrada-lula/
"‘Dancinha da picanha’ foi feita por deputado de extrema-direita, não presidente de Portugal","14 de março de 2024, 14h16",Presidente eleito de Portugal tira sarro da petezada fazendo a dacinha da picanha!,Selo falso,https://www.aosfatos.org/noticias/dancinha-da-picanha-deputado-extrema-direita-portugal/
"‘Dancinha da picanha’ foi feita por deputado de extrema-direita, não presidente de Portugal","14 de março de 2024, 14h16","
",Selo falso,https://www.aosfatos.org/noticias/dancinha-da-picanha-deputado-extrema-direita-portugal/
"Lula disse em entrevista ao SBT que 735 milhões de pessoas passam fome no mundo, não no Brasil","14 de março de 2024, 14h41","Máquina de mentir: em entrevista ao SBT, Lula ataca mercado financeiro e inventa dados absurdos novamente, dessa vez dizendo que 735 milhões de pessoas passam fome no Brasil. A população brasileira é de aproximadamente 220 milhões.",Selo falso,https://www.aosfatos.org/noticias/lula-sbt-735-milhoes-pessoas-fome-mundo/
É falso que vídeo mostra protesto recente de mulheres de militares no Rio de Janeiro,"14 de março de 2024, 16h24","Esposas de militares estão se mexendo!!! Esse movimento aconteceu hoje, em 10 de março de 2024, na Vila Militar de Deodoro [RJ]",Selo falso,https://www.aosfatos.org/noticias/falso-video-protesto-mulheres-de-militares-rio-de-janeiro/
Posts enganam ao dizer que coletiva de deputados nos EUA e visita de Bolsonaro a Goiás não tinham público,"14 de março de 2024, 17h11",Deputados fingindo que tinham público igual Bolsonaro fingiu que estava acenando para uma multidão.,Selo falso,https://www.aosfatos.org/noticias/coletiva-deputados-washington-e-visita-bolsonaro-goias-tinham-publico/
Lewandowski não disse que Comando Vermelho está ajudando o governo na busca por fugitivos,"15 de março de 2024, 13h15","Repórter afirma que a Facção Comando Vermelho ‘ajuda’ com informações na busca de criminosos que fugiram de presídio de segurança máxima em Mossoró. Segundo ela, a informação teria sido confirmada pelo atual Ministro.",Selo falso,https://www.aosfatos.org/noticias/lewandowski-nao-disse-comando-vermelho-ajuda-governo/
É falso que Bolsonaro foi o único ex-presidente a ter o passaporte retido pela Justiça,"15 de março de 2024, 18h17","O presidente Jair Bolsonaro está impedido sair do Brasil, porque o seu passaporte está retido pelo Supremo Tribunal Federal, o que é um absurdo. Eu nunca vi reter o passaporte do Collor, da Dilma, do Fernando Henrique, do próprio Lula. Nunca vi reterem o passaporte de um ex-presidente da República. Isso é inédito",Selo falso,https://www.aosfatos.org/noticias/falso-bolsonaro-unico-ex-presidente-passaporte-retido/
Posts que anunciam indenização de R$ 30 mil da Serasa escondem golpe que rouba dinheiro e dados pessoais,"18 de março de 2024, 17h14",Decreto assinado [por Lula] obriga a Serasa pague R$ 30 mil a cada brasileiro prejudicado após vazamento de dados. Ao todo foram mais de 200 milhões de brasileiros que tiveram os dados pessoais expostos pela Serasa.,Selo falso,https://www.aosfatos.org/noticias/posts-indenizacao-30-mil-serasa-escondem-golpe-rouba-dinheiro-dados-pessoais/
Vídeo em que Trump prevê ‘banho de sangue’ nos EUA caso não seja eleito foi editado,"18 de março de 2024, 17h44",Trump diz que haverá um banho de sangue se ele não for eleito.,Selo falso,https://www.aosfatos.org/noticias/video-trump-banho-de-sangue-eleito-editado/
